species	feature_gadolinium_contrast	P.val_individual_gadolinium_contrast	coef_gadolinium_contrast	model_gadolinium_contrast	feature_lesion_burden	P.val_individual_lesion_burden	coef_lesion_burden	model_lesion_burden	feature_spinal_cord_lesion	P.val_individual_spinal_cord_lesion	coef_spinal_cord_lesion	model_spinal_cord_lesion	feature_subtentorial_lesions	P.val_individual_subtentorial_lesions	coef_subtentorial_lesions	model_subtentorial_lesions
Amedibacillus_[Eubacterium] hominis_abundance	Amedibacillus_[Eubacterium] hominis	0.272925618976602	-1.28581259548495	abundance	Amedibacillus_[Eubacterium] hominis	0.312173200265802	0.803244693918072	abundance	Amedibacillus_[Eubacterium] hominis	0.0774393864459331	1.25464462831539	abundance	Amedibacillus_[Eubacterium] hominis	0.718921779291492	0.152331680067997	abundance
Amedibacillus_[Eubacterium] hominis_prevalence	Amedibacillus_[Eubacterium] hominis	0.702989372160403	0.577552074074526	prevalence	Amedibacillus_[Eubacterium] hominis	0.859493292057082	-0.200759277346859	prevalence	Amedibacillus_[Eubacterium] hominis	0.949497769937135	-0.0691379891314348	prevalence	Amedibacillus_[Eubacterium] hominis	0.463057021238152	0.906973798211218	prevalence
Amedibacterium_intestinale_abundance	Amedibacterium_intestinale	0.503693334033704	0.563475619950423	abundance	Amedibacterium_intestinale	0.331230272436569	-1.14500058050452	abundance	Amedibacterium_intestinale	0.96030610830371	-0.166935791957369	abundance	Amedibacterium_intestinale	0.942990884460446	-0.207400966071857	abundance
Amedibacterium_intestinale_prevalence	Amedibacterium_intestinale	0.910484876352268	-0.085061400765252	prevalence	Amedibacterium_intestinale	0.657998290494783	-0.300261992498833	prevalence	Amedibacterium_intestinale	0.164614914472505	0.890766573678394	prevalence	Amedibacterium_intestinale	0.300277865662497	0.668960573311006	prevalence
Anaerobutyricum_hallii_abundance	Anaerobutyricum_hallii	0.409379085832071	0.479673816250492	abundance	Anaerobutyricum_hallii	0.175270607824187	1.10248384965096	abundance	Anaerobutyricum_hallii	0.623455698365414	0.277783118731867	abundance	Anaerobutyricum_hallii	0.160038601947159	-1.26130955296888	abundance
Anaerobutyricum_hallii_prevalence	Anaerobutyricum_hallii	NA	NA	prevalence	Anaerobutyricum_hallii	NA	NA	prevalence	Anaerobutyricum_hallii	NA	NA	prevalence	Anaerobutyricum_hallii	NA	NA	prevalence
Anaerostipes_caccae_abundance	Anaerostipes_caccae	0.646185380596106	0.363541370921137	abundance	Anaerostipes_caccae	0.71068460554303	-0.58087898961898	abundance	Anaerostipes_caccae	0.449092965792	1.0290456568917	abundance	Anaerostipes_caccae	0.622613524123883	-0.860193919605673	abundance
Anaerostipes_caccae_prevalence	Anaerostipes_caccae	0.314584300242075	0.742166892757241	prevalence	Anaerostipes_caccae	0.765805785245812	-0.194439562748428	prevalence	Anaerostipes_caccae	0.705490021802104	-0.230250760758157	prevalence	Anaerostipes_caccae	0.0210703172263535	1.58228695078153	prevalence
Anaerostipes_hadrus_abundance	Anaerostipes_hadrus	0.812369412013276	-0.134094493650546	abundance	Anaerostipes_hadrus	0.276342072235534	-0.750118297303262	abundance	Anaerostipes_hadrus	0.270441031949994	-0.773474918255315	abundance	Anaerostipes_hadrus	0.640860315638362	-0.419939566026717	abundance
Anaerostipes_hadrus_prevalence	Anaerostipes_hadrus	1	-5.11358687362368e-16	prevalence	Anaerostipes_hadrus	1	9.20820796872243e-16	prevalence	Anaerostipes_hadrus	1	-3.88511828532062e-17	prevalence	Anaerostipes_hadrus	0.999999999999999	9.15667224832132e-16	prevalence
Anaerotruncus_colihominis_abundance	Anaerotruncus_colihominis	0.640571439564071	-0.645048539108204	abundance	Anaerotruncus_colihominis	0.45690834210385	-0.546154586417295	abundance	Anaerotruncus_colihominis	0.986211171119794	-0.10338738050764	abundance	Anaerotruncus_colihominis	0.891051916120317	-0.0459508072063812	abundance
Anaerotruncus_colihominis_prevalence	Anaerotruncus_colihominis	NA	NA	prevalence	Anaerotruncus_colihominis	NA	NA	prevalence	Anaerotruncus_colihominis	NA	NA	prevalence	Anaerotruncus_colihominis	NA	NA	prevalence
Bacteroides_caccae_abundance	Bacteroides_caccae	0.114256407769325	1.68505554880204	abundance	Bacteroides_caccae	0.926688675758629	-0.152941961705061	abundance	Bacteroides_caccae	0.290349519927575	0.993209498224229	abundance	Bacteroides_caccae	0.288561520076198	-1.25820323342375	abundance
Bacteroides_caccae_prevalence	Bacteroides_caccae	0.338195691725438	-1.17868090205053	prevalence	Bacteroides_caccae	0.617435631032791	0.612076313299838	prevalence	Bacteroides_caccae	0.833556925402398	-0.237059611813692	prevalence	Bacteroides_caccae	0.461290200968737	0.908486105067409	prevalence
Bacteroides_cellulosilyticus_abundance	Bacteroides_cellulosilyticus	0.11579265814921	2.57999969219931	abundance	Bacteroides_cellulosilyticus	0.0980724435078322	-2.77880703850489	abundance	Bacteroides_cellulosilyticus	0.642900051833588	-0.863715898010853	abundance	Bacteroides_cellulosilyticus	0.00949756209195973	-4.02674018530679	abundance
Bacteroides_cellulosilyticus_prevalence	Bacteroides_cellulosilyticus	0.770426393751243	0.298518902560226	prevalence	Bacteroides_cellulosilyticus	0.421586161332464	0.715292549360897	prevalence	Bacteroides_cellulosilyticus	0.102531369077717	-1.4335248743096	prevalence	Bacteroides_cellulosilyticus	0.598366662824799	-0.431161300248642	prevalence
Bacteroides_difficilis_abundance	Bacteroides_difficilis	0.0664887446674864	1.73833191248563	abundance	Bacteroides_difficilis	0.941685531037836	0.0249480493298836	abundance	Bacteroides_difficilis	0.529561327166392	0.527586860384857	abundance	Bacteroides_difficilis	0.678482710417044	0.311415384984901	abundance
Bacteroides_difficilis_prevalence	Bacteroides_difficilis	0.177633732544087	1.07230806666337	prevalence	Bacteroides_difficilis	0.632877353951071	0.310663416340356	prevalence	Bacteroides_difficilis	0.732670075547395	-0.204891578460866	prevalence	Bacteroides_difficilis	0.97812332592512	0.0168254836257425	prevalence
Bacteroides_eggerthii_abundance	Bacteroides_eggerthii	0.214178939839015	2.14084099748069	abundance	Bacteroides_eggerthii	0.380942589061702	1.50351522062084	abundance	Bacteroides_eggerthii	0.236180292294429	-2.05337553722051	abundance	Bacteroides_eggerthii	0.623914166004429	-0.962174264000321	abundance
Bacteroides_eggerthii_prevalence	Bacteroides_eggerthii	0.823871530913023	-0.264284338514821	prevalence	Bacteroides_eggerthii	0.373062055185018	-1.13014040519503	prevalence	Bacteroides_eggerthii	0.336726542340723	-1.14249172657538	prevalence	Bacteroides_eggerthii	0.798788138029535	0.276644337363471	prevalence
Bacteroides_faecis_abundance	Bacteroides_faecis	0.429277910322993	-1.30643573666643	abundance	Bacteroides_faecis	0.0748108122727813	-2.0708877605027	abundance	Bacteroides_faecis	0.583930897093235	0.475319568320304	abundance	Bacteroides_faecis	0.954304167207568	-0.196155658729477	abundance
Bacteroides_faecis_prevalence	Bacteroides_faecis	NA	NA	prevalence	Bacteroides_faecis	NA	NA	prevalence	Bacteroides_faecis	NA	NA	prevalence	Bacteroides_faecis	NA	NA	prevalence
Bacteroides_faecium_abundance	Bacteroides_faecium	0.217329735524517	-1.5730244519149	abundance	Bacteroides_faecium	0.0362493331997196	-2.0111958611087	abundance	Bacteroides_faecium	0.919177739555159	-0.0219293129167936	abundance	Bacteroides_faecium	0.517150466295952	0.503845655730952	abundance
Bacteroides_faecium_prevalence	Bacteroides_faecium	0.975811830329889	0.0269963398438711	prevalence	Bacteroides_faecium	0.240169956980765	-0.934111844112226	prevalence	Bacteroides_faecium	0.51316154806452	-0.480865094441434	prevalence	Bacteroides_faecium	0.948370829886217	0.0483499884435446	prevalence
Bacteroides_finegoldii_abundance	Bacteroides_finegoldii	0.0151399206762638	1.93813416501811	abundance	Bacteroides_finegoldii	0.486585525861816	0.545063005812805	abundance	Bacteroides_finegoldii	0.221007659847601	0.903356177966906	abundance	Bacteroides_finegoldii	0.777175224424603	0.118618010562995	abundance
Bacteroides_finegoldii_prevalence	Bacteroides_finegoldii	0.677684861554597	0.330888192644975	prevalence	Bacteroides_finegoldii	0.147087236385777	-1.06091121132826	prevalence	Bacteroides_finegoldii	0.293697055056413	-0.699235065897543	prevalence	Bacteroides_finegoldii	0.323509913957681	-0.657905568604246	prevalence
Bacteroides_fragilis_abundance	Bacteroides_fragilis	0.289179108154608	1.00230977365371	abundance	Bacteroides_fragilis	0.969561763716791	-0.0947346697440715	abundance	Bacteroides_fragilis	0.507604208896329	0.578192828521407	abundance	Bacteroides_fragilis	0.742495607604074	0.216488908369643	abundance
Bacteroides_fragilis_prevalence	Bacteroides_fragilis	0.816550360261633	0.364114098115272	prevalence	Bacteroides_fragilis	0.374259128517601	-1.21483892946688	prevalence	Bacteroides_fragilis	0.647801632100424	0.569275988980327	prevalence	Bacteroides_fragilis	0.658522382035809	0.573295120590046	prevalence
Bacteroides_hominis_abundance	Bacteroides_hominis	0.999900199037345	-0.303793063451747	abundance	Bacteroides_hominis	0.0904231570725756	-2.18612871360369	abundance	Bacteroides_hominis	0.18622794303876	-1.65622813319461	abundance	Bacteroides_hominis	0.494862621752542	0.691345785754943	abundance
Bacteroides_hominis_prevalence	Bacteroides_hominis	0.969377675565472	-0.0294927874126402	prevalence	Bacteroides_hominis	0.152667179295606	-1.05663902375308	prevalence	Bacteroides_hominis	0.189145521284383	0.883133365877355	prevalence	Bacteroides_hominis	0.840093136409031	0.134217504003244	prevalence
